day_index,split_code,intercept,incentive,wip,no_of_workers,over_time,smv,style_change,series
54,2,1.0022329789937212,0.17065781272272665,0.4418725256046384,0.39562281130714855,-0.04445054848577559,-0.3077779030893602,0.023398665557770183,3__1
55,2,1.0012269407528875,0.1705685759650451,0.4417847420009127,0.39563430380171954,-0.044452961340167525,-0.30783966862272505,0.023385350692376485,3__1
56,2,0.9958057694178499,0.16918099997471034,0.44173008994885876,0.39561176748321203,-0.04449445900675009,-0.30813590424528203,0.023316802818761324,3__1
57,2,0.9906053979767404,0.16784989172872308,0.44171041345618767,0.3955798646083834,-0.04453416301925777,-0.3084141153606386,0.02325162263896285,3__1
0,0,0.9200338691116838,-0.135477325364376,0.427664376171413,0.3903168906462046,-0.0479790377240736,-0.2990063339085959,0.029730015156331772,4__0
1,0,1.2443600494429394,-0.13931191676251117,0.4021962550300618,0.39017725240253975,-0.04718694507269989,-0.3058166696722332,0.029609835103179463,4__0
2,0,1.2940222119145182,-0.13989985642187808,0.39824708507007356,0.3902048000145557,-0.04706311519985252,-0.30694039616904184,0.029590948380672433,4__0
3,0,1.3682972217172813,-0.140848841469928,0.39298626345970067,0.38889798338369114,-0.04694538498869693,-0.3082238183903993,0.02957598347843079,4__0
4,0,1.5130503837619083,-0.1426485252977165,0.3820212889719921,0.38785045927012934,-0.04667231173956182,-0.3111571417562616,0.029529586728285404,4__0
5,0,1.5188654314353394,-0.1427206993495979,0.3815805517962005,0.38780826849253186,-0.046661349003945106,-0.3112750054286959,0.02952771377832674,4__0
6,0,1.5774285079134744,-0.14332609373771882,0.3767786344945592,0.3880448500058151,-0.04643386689386375,-0.3126878343502314,0.029507776696976445,4__0
7,0,1.6212378222912052,-0.14384326387776225,0.37322352461553476,0.38820687906758944,-0.04632793934744985,-0.313717489249192,0.029488695712445747,4__0
8,0,1.6691856012141462,-0.14446036562043027,0.36936161336647255,0.3883717446900194,-0.04626367374661669,-0.31482259208047497,0.02946445276065877,4__0
9,0,1.730938821049147,-0.145269375898971,0.36493462805081134,0.3875886105236185,-0.04620996543673039,-0.3157265615361168,0.02944412868658683,4__0
10,0,1.809469646649462,-0.1464048070554105,0.3611990308646406,0.3825012875751586,-0.04624301293143005,-0.3157245763788313,0.029465424042452136,4__0
11,0,1.860239158395202,-0.14713214213477782,0.35996796951525983,0.3765681296573073,-0.04625491365387847,-0.3150075029895967,0.029514535977400055,4__0
12,0,1.9763370467485273,-0.1485752338033055,0.3502949631905388,0.377958589973855,-0.04609295449110835,-0.31751572809637635,0.029441787254530494,4__0
