series,team_display,department_display,driver,driver_value,current_value,unit,expected_productivity,ci80_lower,ci80_upper,ci95_lower,ci95_upper
8__0,Team 8,Finishing,SMV,16.406666666666666,2.8999999999999995,,0.5897066937471193,0.5345955353811351,0.643707226276774,0.5051627674797012,0.6744486476783941
8__0,Team 8,Finishing,SMV,17.313333333333333,2.8999999999999995,,0.585636979399768,0.529206474941576,0.6410316862792591,0.5004610460175468,0.6714349051801913
8__0,Team 8,Finishing,SMV,18.22,2.8999999999999995,,0.5817545248587258,0.5246525887248904,0.6384576310402914,0.4956488049039855,0.6701929490762576
8__0,Team 8,Finishing,SMV,19.126666666666665,2.8999999999999995,,0.5780430076948702,0.5197593261670936,0.635739960370889,0.4909702357858431,0.668081696079653
8__0,Team 8,Finishing,SMV,20.03333333333333,2.8999999999999995,,0.5744881641699517,0.5152667228446578,0.6332984777234976,0.48564051911125544,0.6660520158575063
8__0,Team 8,Finishing,SMV,20.939999999999998,2.8999999999999995,,0.5710774549877867,0.5107479228842442,0.6308477277244565,0.48018847526968506,0.6643890358194062
8__0,Team 8,Finishing,SMV,21.846666666666664,2.8999999999999995,,0.5677997965347719,0.5062414494250925,0.6288758980160147,0.47628445442164613,0.6626475213617142
8__0,Team 8,Finishing,SMV,22.75333333333333,2.8999999999999995,,0.5646453427413123,0.5021612414918201,0.6262416199604014,0.472224116426574,0.6616531565801648
8__0,Team 8,Finishing,SMV,23.659999999999997,2.8999999999999995,,0.5616053065005304,0.49795048469432607,0.6242843048922194,0.46799895264106306,0.66009566037683
8__0,Team 8,Finishing,SMV,24.566666666666663,2.8999999999999995,,0.5586718123097844,0.49363401427937326,0.6223158431955144,0.4639306885746904,0.658590560497992
8__0,Team 8,Finishing,SMV,25.47333333333333,2.8999999999999995,,0.5558377737847927,0.4896437456703923,0.6205077409634924,0.45999639144860416,0.6571225651948114
8__0,Team 8,Finishing,SMV,26.38,2.8999999999999995,,0.5530967911573335,0.48608079291372674,0.618578278140276,0.4561878798787017,0.6556996107904864
8__0,Team 8,Finishing,SMV,27.286666666666665,2.8999999999999995,,0.5504430649557791,0.48248732587708976,0.6169359727469661,0.45250831431205646,0.6543203576042643
8__0,Team 8,Finishing,SMV,28.19333333333333,2.8999999999999995,,0.5478713228872539,0.4792544897398935,0.6154035040680881,0.4489788812739633,0.6529821476630223
8__0,Team 8,Finishing,SMV,29.099999999999998,2.8999999999999995,,0.5453767575633157,0.47601856837634215,0.6137926483136994,0.44530147128222897,0.6516825605321181
8__0,Team 8,Finishing,Style Changes,0.0,0.0,,0.7023132747534468,0.66955871828643,0.7353490633171683,0.647024127093711,0.7552491192116213
8__0,Team 8,Finishing,Style Changes,1.0,0.0,,0.7168065872293311,0.6817420873905458,0.7506524384045389,0.6614116726188621,0.7695417509856007
8__0,Team 8,Finishing,Style Changes,2.0,0.0,,0.7307170035756018,0.6929589243598998,0.7670444028571501,0.6690933296581093,0.786943131074657
8__1,Team 8,Sewing,Incentive,0.0,30.0,BDT,0.5428830623721309,0.5081905331500415,0.5770209226690538,0.4880153046243706,0.5955280748061171
8__1,Team 8,Sewing,Incentive,2.9333333333333327,30.0,BDT,0.6041090815018685,0.5597946134009464,0.6459016485390094,0.5359907031081611,0.664823225388877
8__1,Team 8,Sewing,Incentive,5.866666666666665,30.0,BDT,0.6172160876826145,0.577625423294559,0.6538606545996587,0.5603531076461159,0.6713496470429628
8__1,Team 8,Sewing,Incentive,8.799999999999997,30.0,BDT,0.625489602993469,0.5894278399159929,0.6583769681433473,0.5722386696576076,0.6761387458605985
8__1,Team 8,Sewing,Incentive,11.73333333333333,30.0,BDT,0.6315280573057598,0.5976918978824791,0.6634403655238118,0.5796265028031342,0.6805471913315791
8__1,Team 8,Sewing,Incentive,14.666666666666664,30.0,BDT,0.6362757364362167,0.6028729832768746,0.666759796344113,0.5851029115960764,0.6837983440685178
8__1,Team 8,Sewing,Incentive,17.599999999999994,30.0,BDT,0.6401828976442835,0.607541216227604,0.6709101361614542,0.589459313308808,0.6869727052933723
8__1,Team 8,Sewing,Incentive,20.533333333333328,30.0,BDT,0.6434994375012945,0.6112645930677157,0.6730352920513604,0.5944618775925012,0.6895482136296731
8__1,Team 8,Sewing,Incentive,23.46666666666666,30.0,BDT,0.6480068103152955,0.6171195343973953,0.6772546130440157,0.5996361763534204,0.6928763581285697
8__1,Team 8,Sewing,Incentive,26.399999999999995,30.0,BDT,0.6593867301397089,0.6324965992932455,0.6868503849050178,0.6160384906596703,0.7020068169779219
8__1,Team 8,Sewing,Incentive,29.33333333333333,30.0,BDT,0.669282003309475,0.6436977565419475,0.6962644304660462,0.6284386764075157,0.7082664760944388
8__1,Team 8,Sewing,Incentive,30.0,30.0,BDT,0.6714475674986097,0.6458344582689814,0.6985692349554874,0.6307564773371015,0.7099465740033756
8__1,Team 8,Sewing,Incentive,32.26666666666666,30.0,BDT,0.6787703374911858,0.6529959870082397,0.7054768014721896,0.6397787381734578,0.7167275034017025
8__1,Team 8,Sewing,Incentive,35.19999999999999,30.0,BDT,0.6884244139262756,0.6627283274859652,0.7151754367592915,0.6506161178542068,0.7262196757131322
8__1,Team 8,Sewing,Incentive,38.133333333333326,30.0,BDT,0.6985300384783493,0.6726902070793961,0.724996704678366,0.6621979956943966,0.7358964349900955
8__1,Team 8,Sewing,Incentive,41.066666666666656,30.0,BDT,0.709204290458619,0.6838210278042253,0.7352906102698363,0.6733811275615462,0.7458581442071899
8__1,Team 8,Sewing,Incentive,43.99999999999999,30.0,BDT,0.720462699795731,0.695680526725632,0.7459587947201273,0.6851530146813296,0.756275621859127
8__1,Team 8,Sewing,Incentive,46.93333333333332,30.0,BDT,0.7322591688485801,0.7082409753357894,0.7568492489252199,0.6974894988346849,0.7669498335946345
