series,day_index,split_code,team_display,department_display,no_of_style_change,is_burn_in,date,driver_code,influence,driver
11__1,55,2,Team 11,Sewing,0,False,2015-03-08,incentive,-0.1286199764523855,Incentive
11__1,56,2,Team 11,Sewing,0,False,2015-03-09,incentive,-0.12614778338848,Incentive
11__1,57,2,Team 11,Sewing,0,False,2015-03-10,incentive,-0.1237242567614729,Incentive
11__1,58,2,Team 11,Sewing,0,False,2015-03-11,incentive,-0.1218526864089728,Incentive
12__0,0,0,Team 12,Finishing,0,True,2015-01-19,incentive,-0.0708092084898862,Incentive
12__0,1,0,Team 12,Finishing,0,True,2015-01-22,incentive,-0.0685275961362891,Incentive
12__0,2,0,Team 12,Finishing,0,True,2015-01-24,incentive,-0.0715444722011271,Incentive
12__0,3,0,Team 12,Finishing,0,True,2015-01-25,incentive,-0.0716162119972417,Incentive
12__0,4,0,Team 12,Finishing,0,True,2015-01-26,incentive,-0.0729062359660107,Incentive
12__0,5,0,Team 12,Finishing,0,True,2015-01-27,incentive,-0.0745818758249677,Incentive
12__0,6,0,Team 12,Finishing,0,True,2015-01-28,incentive,-0.0753941431799011,Incentive
12__0,7,0,Team 12,Finishing,0,True,2015-01-29,incentive,-0.0749094958717777,Incentive
12__0,8,0,Team 12,Finishing,0,False,2015-01-31,incentive,-0.0784551909813152,Incentive
12__0,9,0,Team 12,Finishing,0,False,2015-02-01,incentive,-0.0783834300215678,Incentive
12__0,10,0,Team 12,Finishing,0,False,2015-02-02,incentive,-0.0785434583689846,Incentive
12__0,11,0,Team 12,Finishing,0,False,2015-02-03,incentive,-0.0789210808290124,Incentive
12__0,12,0,Team 12,Finishing,0,False,2015-02-04,incentive,-0.0787605099125738,Incentive
12__0,13,0,Team 12,Finishing,0,False,2015-02-05,incentive,-0.080135233567449,Incentive
12__0,14,0,Team 12,Finishing,0,False,2015-02-07,incentive,-0.0813034332102799,Incentive
12__0,15,0,Team 12,Finishing,0,False,2015-02-08,incentive,-0.0823350423705551,Incentive
12__0,16,0,Team 12,Finishing,0,False,2015-02-09,incentive,-0.0805040724237215,Incentive
12__0,17,0,Team 12,Finishing,0,False,2015-02-10,incentive,-0.0863916090974073,Incentive
12__0,18,0,Team 12,Finishing,0,False,2015-02-11,incentive,-0.0918291915832666,Incentive
12__0,19,0,Team 12,Finishing,0,False,2015-02-12,incentive,-0.0919557722821654,Incentive
12__0,20,0,Team 12,Finishing,0,False,2015-02-14,incentive,-0.091875777820748,Incentive
12__0,21,0,Team 12,Finishing,0,False,2015-02-15,incentive,-0.0922759100591618,Incentive
12__0,22,0,Team 12,Finishing,0,False,2015-02-16,incentive,-0.0927550166467438,Incentive
12__0,23,0,Team 12,Finishing,0,False,2015-02-17,incentive,-0.0934049527397173,Incentive
12__0,24,1,Team 12,Finishing,0,False,2015-02-18,incentive,-0.0950188703527405,Incentive
12__0,25,1,Team 12,Finishing,0,False,2015-02-19,incentive,-0.094334202883563,Incentive
12__0,26,1,Team 12,Finishing,0,False,2015-02-22,incentive,-0.0942618727707882,Incentive
12__0,27,1,Team 12,Finishing,0,False,2015-02-23,incentive,-0.0948152313036334,Incentive
12__0,28,1,Team 12,Finishing,0,False,2015-02-25,incentive,-0.0945672471980395,Incentive
12__0,29,1,Team 12,Finishing,0,False,2015-02-26,incentive,-0.0939958631121798,Incentive
12__0,30,1,Team 12,Finishing,0,False,2015-02-28,incentive,-0.0934558512283274,Incentive
12__0,31,2,Team 12,Finishing,0,False,2015-03-02,incentive,-0.0929051903051931,Incentive
12__0,32,2,Team 12,Finishing,0,False,2015-03-03,incentive,-0.0924410846524205,Incentive
12__0,33,2,Team 12,Finishing,0,False,2015-03-04,incentive,-0.0927489486788344,Incentive
12__0,34,2,Team 12,Finishing,0,False,2015-03-05,incentive,-0.0929470647803504,Incentive
12__0,35,2,Team 12,Finishing,0,False,2015-03-07,incentive,-0.0931354091617569,Incentive
12__0,36,2,Team 12,Finishing,0,False,2015-03-08,incentive,-0.0938819482915021,Incentive
12__0,37,2,Team 12,Finishing,0,False,2015-03-09,incentive,-0.1807659340555236,Incentive
12__0,38,2,Team 12,Finishing,0,False,2015-03-10,incentive,-0.1821680510138271,Incentive
12__0,39,2,Team 12,Finishing,0,False,2015-03-11,incentive,-0.1835106211881239,Incentive
12__1,0,0,Team 12,Sewing,0,True,2015-01-01,incentive,-0.0658504109755085,Incentive
12__1,1,0,Team 12,Sewing,0,True,2015-01-03,incentive,-0.0669601412158783,Incentive
12__1,2,0,Team 12,Sewing,0,True,2015-01-04,incentive,-0.0657537131009805,Incentive
12__1,3,0,Team 12,Sewing,0,True,2015-01-05,incentive,-0.0646024056654692,Incentive
12__1,4,0,Team 12,Sewing,0,True,2015-01-06,incentive,-0.0638342993768538,Incentive
12__1,5,0,Team 12,Sewing,0,True,2015-01-07,incentive,-0.0632133865524368,Incentive
12__1,6,0,Team 12,Sewing,0,True,2015-01-08,incentive,-0.0637168247195813,Incentive
12__1,7,0,Team 12,Sewing,0,True,2015-01-10,incentive,-0.06277492943566,Incentive
12__1,8,0,Team 12,Sewing,0,False,2015-01-11,incentive,-0.0619395560509465,Incentive
12__1,9,0,Team 12,Sewing,0,False,2015-01-12,incentive,-0.0610620187894289,Incentive
12__1,10,0,Team 12,Sewing,0,False,2015-01-13,incentive,-0.0606160657247335,Incentive
12__1,11,0,Team 12,Sewing,0,False,2015-01-14,incentive,-0.0603841946216358,Incentive
12__1,12,0,Team 12,Sewing,0,False,2015-01-15,incentive,-0.0598946094356451,Incentive
12__1,13,0,Team 12,Sewing,0,False,2015-01-17,incentive,-0.0610983222484244,Incentive
12__1,14,0,Team 12,Sewing,0,False,2015-01-18,incentive,-0.0629008599041866,Incentive
12__1,15,0,Team 12,Sewing,0,False,2015-01-19,incentive,-0.0522038358491356,Incentive
12__1,16,0,Team 12,Sewing,0,False,2015-01-20,incentive,-0.0467021226561929,Incentive
12__1,17,0,Team 12,Sewing,0,False,2015-01-21,incentive,-0.0451881095362758,Incentive
12__1,18,0,Team 12,Sewing,0,False,2015-01-22,incentive,-0.0438853593358152,Incentive
12__1,19,0,Team 12,Sewing,0,False,2015-01-24,incentive,-0.0435697252689154,Incentive
12__1,20,0,Team 12,Sewing,0,False,2015-01-25,incentive,-0.043548596545332,Incentive
12__1,21,0,Team 12,Sewing,0,False,2015-01-26,incentive,-0.0435350117652808,Incentive
12__1,22,0,Team 12,Sewing,0,False,2015-01-27,incentive,-0.0435468095867331,Incentive
12__1,23,0,Team 12,Sewing,0,False,2015-01-28,incentive,-0.0431852116460964,Incentive
12__1,24,0,Team 12,Sewing,0,False,2015-01-29,incentive,-0.0435257161766969,Incentive
12__1,25,0,Team 12,Sewing,0,False,2015-01-31,incentive,-0.0438153714843916,Incentive
12__1,26,0,Team 12,Sewing,0,False,2015-02-01,incentive,-0.0438740406762436,Incentive
12__1,27,0,Team 12,Sewing,0,False,2015-02-02,incentive,-0.045188373712228,Incentive
12__1,28,0,Team 12,Sewing,0,False,2015-02-03,incentive,-0.0441662043710705,Incentive
12__1,29,0,Team 12,Sewing,0,False,2015-02-04,incentive,-0.0440684962296284,Incentive
12__1,30,0,Team 12,Sewing,0,False,2015-02-05,incentive,-0.0440896764868409,Incentive
12__1,31,0,Team 12,Sewing,0,False,2015-02-07,incentive,-0.0449228999606891,Incentive
12__1,32,0,Team 12,Sewing,0,False,2015-02-08,incentive,-0.0454716291147614,Incentive
12__1,33,0,Team 12,Sewing,0,False,2015-02-09,incentive,-0.0458441419515389,Incentive
12__1,34,0,Team 12,Sewing,0,False,2015-02-10,incentive,-0.0446185220051616,Incentive
12__1,35,0,Team 12,Sewing,0,False,2015-02-11,incentive,-0.0433821507095083,Incentive
12__1,36,0,Team 12,Sewing,0,False,2015-02-12,incentive,-0.0422639611401917,Incentive
12__1,37,0,Team 12,Sewing,0,False,2015-02-14,incentive,-0.0427502617081263,Incentive
12__1,38,0,Team 12,Sewing,0,False,2015-02-15,incentive,-0.0418924557451799,Incentive
12__1,39,0,Team 12,Sewing,0,False,2015-02-16,incentive,-0.042327707343224,Incentive
12__1,40,0,Team 12,Sewing,0,False,2015-02-17,incentive,-0.0427734817106283,Incentive
12__1,41,1,Team 12,Sewing,0,False,2015-02-18,incentive,-0.0431321203257732,Incentive
12__1,42,1,Team 12,Sewing,0,False,2015-02-19,incentive,-0.0436805676283196,Incentive
12__1,43,1,Team 12,Sewing,0,False,2015-02-22,incentive,-0.0438391540684025,Incentive
12__1,44,1,Team 12,Sewing,0,False,2015-02-23,incentive,-0.0439468138476315,Incentive
12__1,45,1,Team 12,Sewing,0,False,2015-02-24,incentive,-0.0429764622972766,Incentive
12__1,46,1,Team 12,Sewing,0,False,2015-02-25,incentive,-0.0420315106461761,Incentive
12__1,47,1,Team 12,Sewing,0,False,2015-02-26,incentive,-0.0422345666282419,Incentive
12__1,48,1,Team 12,Sewing,0,False,2015-02-28,incentive,-0.0425242845452471,Incentive
12__1,49,1,Team 12,Sewing,0,False,2015-03-01,incentive,-0.0437008159097829,Incentive
12__1,50,2,Team 12,Sewing,0,False,2015-03-02,incentive,-0.0447866074597341,Incentive
12__1,51,2,Team 12,Sewing,0,False,2015-03-03,incentive,-0.0443260850450112,Incentive
12__1,52,2,Team 12,Sewing,0,False,2015-03-04,incentive,-0.0438614840187078,Incentive
12__1,53,2,Team 12,Sewing,0,False,2015-03-05,incentive,-0.0434098637571744,Incentive
12__1,54,2,Team 12,Sewing,0,False,2015-03-07,incentive,-0.0448415372909769,Incentive
12__1,55,2,Team 12,Sewing,0,False,2015-03-08,incentive,-0.0456586025992797,Incentive
12__1,56,2,Team 12,Sewing,0,False,2015-03-09,incentive,-0.0464851933915776,Incentive
12__1,57,2,Team 12,Sewing,0,False,2015-03-10,incentive,-0.0472449984753885,Incentive
12__1,58,2,Team 12,Sewing,0,False,2015-03-11,incentive,-0.0471754211294867,Incentive
1__0,0,0,Team 1,Finishing,0,True,2015-01-01,incentive,-0.0085963368215868,Incentive
1__0,1,0,Team 1,Finishing,0,True,2015-01-03,incentive,-0.0125981318862286,Incentive
1__0,2,0,Team 1,Finishing,0,True,2015-01-04,incentive,-0.0160863700099507,Incentive
