series,team_display,department_display,driver,effect_mean,effect80_lower,effect80_upper,current_value,range_low,range_high,unit,direction,confidence,strength,strength_rank
1__1,Team 1,Sewing,SMV,-0.11523816971933001,-0.1462981422222356,-0.08209722257065921,25.819999999999997,1.8999999999999997,29.099999999999998,,Reduces,Clear,Moderate,4
1__1,Team 1,Sewing,Style Changes,0.02477316121029246,0.007539093351293492,0.04177503925433639,0.0,0.0,2.0,,Supports,Clear,Smaller,5
1__1,Team 1,Sewing,Overtime,-0.013126533206496193,-0.020569425866301873,-0.00609523597969834,7079.999999999998,960.0,10368.0,min,Reduces,Clear,Smaller,6
2__0,Team 2,Finishing,WIP,0.21907394339561317,0.06974060155828785,0.37024120996949933,0.0,0.0,1502.8000000000002,pieces,Supports,Clear,Strong,1
2__0,Team 2,Finishing,Workers,0.17167655467689444,0.1321041252788561,0.2106090515244643,7.000000000000002,7.000000000000002,58.000000000000014,workers,Supports,Clear,Strong,2
2__0,Team 2,Finishing,SMV,-0.16920416898551102,-0.22872171219230386,-0.10883716608041687,2.8999999999999995,1.8999999999999997,29.099999999999998,,Reduces,Clear,Moderate,3
2__0,Team 2,Finishing,Incentive,0.13658717678409535,0.06518105889630184,0.1995008599777173,0.0,0.0,87.99999999999999,BDT,Supports,Clear,Moderate,4
2__0,Team 2,Finishing,Style Changes,0.02639039992563684,0.007922424631430313,0.04566616999665302,0.0,0.0,2.0,,Supports,Clear,Smaller,5
2__0,Team 2,Finishing,Overtime,-0.014279888934883692,-0.022536131418430895,-0.006393279784467198,1920.0000000000007,960.0,10368.0,min,Reduces,Clear,Smaller,6
2__1,Team 2,Sewing,WIP,0.28102216074756986,0.17894466167612033,0.38499160114124276,971.0,0.0,1502.8000000000002,pieces,Supports,Clear,Strong,1
2__1,Team 2,Sewing,Incentive,0.2700133670778888,0.23211291486228625,0.3090269296580587,45.0,0.0,87.99999999999999,BDT,Supports,Clear,Strong,2
2__1,Team 2,Sewing,Workers,0.10452388418821522,0.012069419556679475,0.20724991160380904,44.000000000000014,7.000000000000002,58.000000000000014,workers,Supports,Clear,Moderate,3
2__1,Team 2,Sewing,SMV,-0.09755658416783952,-0.1272191240248882,-0.0688612232772495,15.09999999999999,1.8999999999999997,29.099999999999998,,Reduces,Clear,Moderate,4
2__1,Team 2,Sewing,Style Changes,0.01994833275744196,0.00616168767589892,0.03415906207399407,1.0,0.0,2.0,,Supports,Clear,Smaller,5
2__1,Team 2,Sewing,Overtime,-0.010242943303882548,-0.016009573552819224,-0.00472057833237298,5400.000000000005,960.0,10368.0,min,Reduces,Clear,Smaller,6
3__0,Team 3,Finishing,WIP,0.17030033747525558,0.013590486968357707,0.3249433330465627,0.0,0.0,1502.8000000000002,pieces,Supports,Clear,Strong,1
3__0,Team 3,Finishing,SMV,-0.15446679209421843,-0.2132159209952883,-0.09642793208427482,3.599999999999999,1.8999999999999997,29.099999999999998,,Reduces,Clear,Strong,2
3__0,Team 3,Finishing,Workers,0.1516867670248918,0.11383863162490196,0.18935084904794977,7.000000000000002,7.000000000000002,58.000000000000014,workers,Supports,Clear,Moderate,3
3__0,Team 3,Finishing,Incentive,0.10035114661926829,0.024406410204275267,0.16289898993954455,0.0,0.0,87.99999999999999,BDT,Supports,Clear,Moderate,4
3__0,Team 3,Finishing,Style Changes,0.02383531592066918,0.007122588987617751,0.04091079146939039,0.0,0.0,2.0,,Supports,Clear,Smaller,5
3__0,Team 3,Finishing,Overtime,-0.013010287191885427,-0.020837661074486747,-0.0059186649169167905,1920.0000000000007,960.0,10368.0,min,Reduces,Clear,Smaller,6
3__1,Team 3,Sewing,Incentive,0.26994898975946957,0.23084728091826034,0.308670041313745,63.000000000000036,0.0,87.99999999999999,BDT,Supports,Clear,Strong,1
3__1,Team 3,Sewing,WIP,0.21637729011826928,0.12387153923519524,0.31593596879887137,735.0000000000003,0.0,1502.8000000000002,pieces,Supports,Clear,Strong,2
3__1,Team 3,Sewing,Workers,0.1098863328745659,0.018101016771607595,0.21324393780055606,56.999999999999986,7.000000000000002,58.000000000000014,workers,Supports,Clear,Moderate,3
3__1,Team 3,Sewing,SMV,-0.07867472451020717,-0.09972674811058221,-0.05623030049816233,29.099999999999998,1.8999999999999997,29.099999999999998,,Reduces,Clear,Moderate,4
3__1,Team 3,Sewing,Style Changes,0.018940687225803218,0.005719673190748997,0.03254462798085626,1.0,0.0,2.0,,Supports,Clear,Smaller,5
3__1,Team 3,Sewing,Overtime,-0.009630906065945763,-0.015075477275408599,-0.004340053689444343,6960.000000000005,960.0,10368.0,min,Reduces,Clear,Smaller,6
4__0,Team 4,Finishing,WIP,0.16066428182101664,-0.0007438043424149574,0.31898197894164054,0.0,0.0,1502.8000000000002,pieces,Supports,Uncertain,Strong,1
4__0,Team 4,Finishing,SMV,-0.15549650301795945,-0.21284661145215797,-0.10109033496363054,2.9399999999999995,1.8999999999999997,29.099999999999998,,Reduces,Clear,Strong,2
4__0,Team 4,Finishing,Workers,0.14828706480561615,0.1144306484927636,0.1848514220228016,7.000000000000002,7.000000000000002,58.000000000000014,workers,Supports,Clear,Moderate,3
