feature,anova_f_score_train,anova_p_value_train,rank,selected
558,3.430346446146602,0.06427791784905193,88,True
469,3.348344690254288,0.06754463278908998,89,True
551,3.316221356188789,0.06887237119584196,90,True
554,3.1802597582515872,0.07481004587843627,91,True
302,3.1505349751405594,0.07618007847370752,92,True
280,3.0949989874318646,0.0788127061607423,93,True
317,3.0627230753856844,0.08038765382775845,94,True
100,3.0312894040386773,0.081954205919233,95,True
130,3.0212998402296263,0.08245893521114575,96,True
385,3.0125245626525277,0.08290508482721815,97,True
167,2.9459915045625227,0.08637393477016454,98,True
408,2.919687671723003,0.08778844079374419,99,True
135,2.9117489734854933,0.08822026996634735,100,True
188,2.8863903035876604,0.08961518228252051,101,True
359,2.8611660329324993,0.09102649826665864,102,True
63,2.8289532672929165,0.0928640685769371,103,True
145,2.7588184227803048,0.09700618138758418,104,True
344,2.722522854510214,0.09922857255448861,105,True
333,2.687659103680445,0.10141578775416364,106,True
477,2.676417247806268,0.10213226339930001,107,True
480,2.6187997269529255,0.10589254236467865,108,True
126,2.5744746335283577,0.1088887728849526,109,True
208,2.5656111867496145,0.10949902783528961,110,True
90,2.4747939286670104,0.1159737426471593,111,True
198,2.326052574325979,0.12751315970065785,112,True
40,2.3230826839110517,0.1277562017460329,113,True
460,2.321725265914827,0.12786745839815558,114,True
201,2.229250235863165,0.13570787584204883,115,True
202,2.208861503235105,0.1375080222217934,116,True
205,2.174099671153351,0.14063933182449848,117,True
563,2.165592580567521,0.1414177958237697,118,True
479,2.1243303808924767,0.14526310759996966,119,True
43,2.1175702002526275,0.14590427466132688,120,True
334,2.1086431425149774,0.14675585900656146,121,False
470,2.0984806539368,0.14773213647914843,122,False
81,2.0695328961887856,0.1505535525212487,123,False
279,2.0391177789465567,0.15358393042265028,124,False
569,2.0386448525964638,0.15363159312295188,125,False
341,1.9976663373752903,0.15782606242211975,126,False
468,1.990228463530623,0.1586012770826516,127,False
312,1.9825837422909605,0.1594025745784361,128,False
177,1.955751310253143,0.16225184177725702,129,False
448,1.9541076034568847,0.16242826399368568,130,False
86,1.9533485814466485,0.16250980524962283,131,False
144,1.9391158665167252,0.16404751504431317,132,False
454,1.9385046711985785,0.164113920538804,133,False
80,1.9108072544696058,0.16715575235529567,134,False
417,1.8997972738096125,0.16838281825511806,135,False
499,1.8934974166205583,0.16908958722199777,136,False
324,1.8764344417333936,0.17102102576237713,137,False
20,1.8669735307232078,0.17210287592145027,138,False
360,1.8325649093091592,0.1761044902200007,139,False
67,1.8075203867075804,0.1790846634652545,140,False
214,1.805483871417844,0.1793295515244129,141,False
211,1.7674157856508925,0.18397936933218717,142,False
349,1.7657298667022954,0.18418850802515702,143,False
318,1.7560879245346084,0.18538991421159995,144,False
89,1.7311934770187607,0.18853420298772627,145,False
60,1.7087803220111235,0.19141836875941504,146,False
182,1.7034600350841853,0.19211053815017276,147,False
115,1.6884054273845497,0.19408505539517226,148,False
79,1.6514263349447535,0.19903690746678343,149,False
571,1.6444120465860208,0.19999284278696336,150,False
221,1.6423828319073321,0.20027039850005532,151,False
574,1.635659173306897,0.2011933040731405,152,False
76,1.6262977219591392,0.2024866330306417,153,False
340,1.6178100239962736,0.20366772526957425,154,False
332,1.6034650548600489,0.2056824092847882,155,False
207,1.5896997992128006,0.2076378513971862,156,False
550,1.5823642555721693,0.20868889404367794,157,False
213,1.5406380413573608,0.21478893398767518,158,False
204,1.5323786593722906,0.21602139384113883,159,False
587,1.5289832330323547,0.2165305002215514,160,False
494,1.518146921041613,0.21816488284554406,161,False
351,1.51569600830666,0.21853657995256356,162,False
335,1.4929194135995774,0.22202725627204323,163,False
336,1.482287392735455,0.2236795236589231,164,False
423,1.439502561574016,0.2304796180064284,165,False
57,1.4383438406803803,0.23066721788576178,166,False
556,1.4321391089455202,0.23167492157993994,167,False
170,1.4306891579023924,0.231911172305791,168,False
161,1.4284840702548325,0.23227102090499288,169,False
137,1.413476085816855,0.23473819397032308,170,False
68,1.4028225725494405,0.2365088038910602,171,False
493,1.3950337302947797,0.23781356284361063,172,False
410,1.3891654512862324,0.23880237201119994,173,False
588,1.3780807140896216,0.24068383202647126,174,False
125,1.3679258649828396,0.24242331866581618,175,False
24,1.3602089270468036,0.24375545743229457,176,False
572,1.3488837025887153,0.2457267012661323,177,False
47,1.3461225653246354,0.24621024998629026,178,False
195,1.3105354108375886,0.25254812775546354,179,False
19,1.2802753499763997,0.25809580836865553,180,False
546,1.251830071588147,0.2634488345035812,181,False
